monitor,monitor_id,expected,observed,matches_expectation,auc,inverted_auc,audit_pass,temporal_passed,forbidden_passed,matched_delta,threshold_fragile,output_classes,key_reasons,valid_auc_min,matched_delta_min
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,PASS,True,0.6938775510204082,0.30612244897959184,True,True,True,0.6071428571428571,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"protocol sentinel present, oracle sentinel present",0.6,0.02
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.8571428571428571,0.1428571428571429,False,True,False,0.2857142857142857,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"forbidden, protocol sentinel present, oracle sentinel present",0.6,0.02
Explicit oracle leakage,explicit_oracle_leakage,FAIL,FAIL,True,1.0,0.0,False,False,False,1.0,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, protocol sentinel present, oracle sentinel present",0.6,0.02
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,PASS,True,0.6938775510204082,0.30612244897959184,True,True,True,0.6071428571428571,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"protocol sentinel present, oracle sentinel present",0.6,0.1
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.8571428571428571,0.1428571428571429,False,True,False,0.2857142857142857,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"forbidden, protocol sentinel present, oracle sentinel present",0.6,0.1
Explicit oracle leakage,explicit_oracle_leakage,FAIL,FAIL,True,1.0,0.0,False,False,False,1.0,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, protocol sentinel present, oracle sentinel present",0.6,0.1
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,PASS,True,0.6938775510204082,0.30612244897959184,True,True,True,0.6071428571428571,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"protocol sentinel present, oracle sentinel present",0.6,0.2
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.8571428571428571,0.1428571428571429,False,True,False,0.2857142857142857,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"forbidden, protocol sentinel present, oracle sentinel present",0.6,0.2
Explicit oracle leakage,explicit_oracle_leakage,FAIL,FAIL,True,1.0,0.0,False,False,False,1.0,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, protocol sentinel present, oracle sentinel present",0.6,0.2
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,PASS,True,0.6938775510204082,0.30612244897959184,True,True,True,0.6071428571428571,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"protocol sentinel present, oracle sentinel present",0.6,0.5
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.8571428571428571,0.1428571428571429,False,True,False,0.2857142857142857,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel,"forbidden, protocol sentinel present, oracle sentinel present",0.6,0.5
Explicit oracle leakage,explicit_oracle_leakage,FAIL,FAIL,True,1.0,0.0,False,False,False,1.0,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, protocol sentinel present, oracle sentinel present",0.6,0.5
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,PASS,True,0.6938775510204082,0.30612244897959184,True,True,True,0.6071428571428571,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"protocol sentinel present, oracle sentinel present",0.65,0.02
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.8571428571428571,0.1428571428571429,False,True,False,0.2857142857142857,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"forbidden, protocol sentinel present, oracle sentinel present",0.65,0.02
Explicit oracle leakage,explicit_oracle_leakage,FAIL,FAIL,True,1.0,0.0,False,False,False,1.0,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, protocol sentinel present, oracle sentinel present",0.65,0.02
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,PASS,True,0.6938775510204082,0.30612244897959184,True,True,True,0.6071428571428571,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"protocol sentinel present, oracle sentinel present",0.65,0.1
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.8571428571428571,0.1428571428571429,False,True,False,0.2857142857142857,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"forbidden, protocol sentinel present, oracle sentinel present",0.65,0.1
Explicit oracle leakage,explicit_oracle_leakage,FAIL,FAIL,True,1.0,0.0,False,False,False,1.0,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, protocol sentinel present, oracle sentinel present",0.65,0.1
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,PASS,True,0.6938775510204082,0.30612244897959184,True,True,True,0.6071428571428571,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"protocol sentinel present, oracle sentinel present",0.65,0.2
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.8571428571428571,0.1428571428571429,False,True,False,0.2857142857142857,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"forbidden, protocol sentinel present, oracle sentinel present",0.65,0.2
Explicit oracle leakage,explicit_oracle_leakage,FAIL,FAIL,True,1.0,0.0,False,False,False,1.0,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, protocol sentinel present, oracle sentinel present",0.65,0.2
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,PASS,True,0.6938775510204082,0.30612244897959184,True,True,True,0.6071428571428571,False,audit_pass_candidate;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"protocol sentinel present, oracle sentinel present",0.65,0.5
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.8571428571428571,0.1428571428571429,False,True,False,0.2857142857142857,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel,"forbidden, protocol sentinel present, oracle sentinel present",0.65,0.5
Explicit oracle leakage,explicit_oracle_leakage,FAIL,FAIL,True,1.0,0.0,False,False,False,1.0,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, protocol sentinel present, oracle sentinel present",0.65,0.5
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,FAIL,False,0.6938775510204082,0.30612244897959184,False,True,True,0.6071428571428571,False,oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel,"protocol sentinel present, oracle sentinel present",0.7,0.02
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.8571428571428571,0.1428571428571429,False,True,False,0.2857142857142857,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"forbidden, protocol sentinel present, oracle sentinel present",0.7,0.02
Explicit oracle leakage,explicit_oracle_leakage,FAIL,FAIL,True,1.0,0.0,False,False,False,1.0,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, protocol sentinel present, oracle sentinel present",0.7,0.02
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,FAIL,False,0.6938775510204082,0.30612244897959184,False,True,True,0.6071428571428571,False,oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel,"protocol sentinel present, oracle sentinel present",0.7,0.1
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.8571428571428571,0.1428571428571429,False,True,False,0.2857142857142857,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"forbidden, protocol sentinel present, oracle sentinel present",0.7,0.1
Explicit oracle leakage,explicit_oracle_leakage,FAIL,FAIL,True,1.0,0.0,False,False,False,1.0,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;temporal_isolation_incomplete;valid_early_hidden_state_signal,"temporal, forbidden, protocol sentinel present, oracle sentinel present",0.7,0.1
Clean calcium/electrophysiology probe,clean_calcium_probe,PASS,FAIL,False,0.6938775510204082,0.30612244897959184,False,True,True,0.6071428571428571,False,oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel,"protocol sentinel present, oracle sentinel present",0.7,0.2
High-calcium protocol shortcut,protocol_shortcut,FAIL,FAIL,True,0.8571428571428571,0.1428571428571429,False,True,False,0.2857142857142857,False,forbidden_feature_contamination;oracle_label_leakage_sentinel;protocol_batch_or_donor_shortcut_sentinel;valid_early_hidden_state_signal,"forbidden, protocol sentinel present, oracle sentinel present",0.7,0.2
